,Year,Month,Departure station,Arrival station,Average travel time (min),Number of expected circulations,Number of cancelled trains,Number of late trains at departure,Average delay of late departing trains (min),Average delay of all departing trains (min),Number of trains late on arrival,Average delay of late arriving trains (min),Average delay of all arriving trains (min),"% trains late due to external causes (weather, obstacles, suspicious packages, malevolence, social movements, etc.)","% trains late due to railway infrastructure (maintenance, works)","% trains late due to traffic management (rail line traffic, network interactions)",% trains late due to rolling stock,% trains late due to station management and reuse of material,"% trains late due to passenger traffic (affluence, PSH management, connections)",Number of late trains > 15min,Average train delay > 15min,Number of late trains > 30min,Number of late trains > 60min,Period,Delay due to external causes,Delay due to railway infrastructure,Delay due to traffic management,Delay due to rolling stock,Delay due to station management and reuse of material,Delay due to travellers taken into account
628,2017,11,METZ,PARIS EST,85.4180602007,302.0,3.0,64.0,16.3395833333,4.07101449275,67.0,18.1047263682,4.207636566330001,0.196078431373,0.0980392156863,0.235294117647,0.372549019608,0.078431372549,0.0196078431372999,34.0,4.207636566330001,9.0,2.0,2017-11-01,19.6078431373,9.80392156863,23.5294117647,37.25490196080001,7.8431372548999985,1.96078431373
629,2017,11,PARIS LYON,LE CREUSOT MONTCEAU MONTCHANIN,78.995049505,203.0,1.0,11.0,20.6893939394,0.8613036303630001,40.0,21.1745833333,4.70684818482,0.24,0.4,0.16,0.16,0.04,0.0,14.0,4.70684818482,9.0,4.0,2017-11-01,24.0,40.0,16.0,16.0,4.0,0.0
632,2016,12,PARIS MONTPARNASSE,LE MANS,57.3302961276,449.0,10.0,28.0,20.1529761905,1.3132118451,69.0,18.9971014493,3.3638952164,0.405405405405,0.189189189189,0.108108108108,0.27027027027,0.0,0.027027027027,20.0,45.9391666667,12.0,4.0,2016-12-01,40.5405405405,18.9189189189,10.8108108108,27.027027027,0.0,2.7027027027
633,2016,10,STRASBOURG,PARIS EST,117.767241379,466.0,2.0,51.0,14.2549019608,1.94612068966,27.0,28.037037037,2.04525862069,0.230769230769,0.0384615384615,0.5,0.0769230769231,0.153846153846,0.0,21.0,32.6190476,8.0,1.0,2016-10-01,23.0769230769,3.84615384615,50.0,7.692307692310001,15.3846153846,0.0
635,2016,10,LE CREUSOT MONTCEAU MONTCHANIN,PARIS LYON,81.97906976739999,215.0,0.0,61.0,16.3606557377,5.9023255814,28.0,22.5,1.78604651163,0.24,0.12,0.12,0.24,0.16,0.12,11.0,42.2727273,8.0,2.0,2016-10-01,24.0,12.0,12.0,24.0,16.0,12.0
637,2016,10,DUNKERQUE,PARIS NORD,120.413043478,230.0,0.0,4.0,24.5,0.486956521739,20.0,28.85,3.61739130435,0.263157894737,0.315789473684,0.0526315789474,0.157894736842,0.157894736842,0.0526315789474,15.0,34.2666667,7.0,1.0,2016-10-01,26.3157894737,31.5789473684,5.26315789474,15.7894736842,15.7894736842,5.26315789474
639,2016,9,ANGERS SAINT LAUD,PARIS MONTPARNASSE,99.3336980306,457.0,0.0,32.0,15.25,1.59518599562,57.0,30.9473684211,4.80525164114,0.527272727273,0.327272727273,0.0727272727273,0.0545454545455,0.0181818181818,0.0,38.0,40.15789470000001,17.0,5.0,2016-09-01,52.7272727273,32.7272727273,7.272727272729999,5.454545454550001,1.81818181818,0.0
640,2016,9,POITIERS,PARIS MONTPARNASSE,106.103556485,478.0,0.0,105.0,17.761904761900002,5.03138075314,67.0,30.6865671642,5.44351464435,0.3384615384619999,0.446153846154,0.0307692307692,0.107692307692,0.0307692307692,0.0461538461538,40.0,42.775,17.0,7.0,2016-09-01,33.8461538462,44.6153846154,3.0769230769200004,10.7692307692,3.0769230769200004,4.615384615380001
641,2016,9,TOURS,PARIS MONTPARNASSE,77.0945273632,201.0,0.0,7.0,27.8571428571,1.05970149254,43.0,22.023255814,5.44776119403,0.261904761905,0.4761904761899999,0.047619047619,0.142857142857,0.047619047619,0.0238095238095,17.0,42.5882353,9.0,3.0,2016-09-01,26.190476190500004,47.61904761899999,4.7619047619,14.2857142857,4.7619047619,2.38095238095
642,2016,9,VANNES,PARIS MONTPARNASSE,203.695020747,241.0,0.0,8.0,26.375,1.10788381743,24.0,46.0416666667,5.8257261410800005,0.5454545454549999,0.227272727273,0.0454545454545,0.1363636363639999,0.0454545454545,0.0,24.0,46.0416667,15.0,5.0,2016-09-01,54.545454545500014,22.7272727273,4.54545454545,13.6363636364,4.54545454545,0.0
644,2017,3,PARIS MONTPARNASSE,ST PIERRE DES CORPS,62.5481798715,469.0,2.0,26.0,29.5769230769,1.63383297645,43.0,24.4186046512,1.65952890792,0.342105263158,0.315789473684,0.0263157894737,0.315789473684,0.0,0.0,17.0,47.3,9.0,7.0,2017-03-01,34.2105263158,31.5789473684,2.63157894737,31.5789473684,0.0,0.0
645,2017,3,ARRAS,PARIS NORD,58.0852941176,343.0,3.0,50.0,17.4,3.1205882352900005,62.0,18.8225806452,3.3176470588200004,0.285714285714,0.190476190476,0.261904761905,0.142857142857,0.0952380952381,0.0238095238095,24.0,33.6,8.0,4.0,2017-03-01,28.5714285714,19.0476190476,26.190476190500004,14.2857142857,9.523809523810002,2.38095238095
646,2017,3,LYON PART DIEU,MONTPELLIER,111.182890855,351.0,12.0,69.0,18.2463768116,4.59292035398,57.0,29.3684210526,5.31563421829,0.288461538462,0.211538461538,0.269230769231,0.134615384615,0.0769230769231,0.0192307692308,40.0,36.7,16.0,8.0,2017-03-01,28.8461538462,21.1538461538,26.9230769231,13.461538461500002,7.692307692310001,1.92307692308
647,2017,4,PARIS LYON,BELLEGARDE (AIN),163.958974359,195.0,0.0,16.0,27.6875,2.4,43.0,26.976744186,7.16923076923,0.30303030303,0.151515151515,0.212121212121,0.333333333333,0.0,0.0,34.0,30.9039216,9.0,4.0,2017-04-01,30.303030303000003,15.151515151500002,21.2121212121,33.333333333300004,0.0,0.0
649,2017,10,PARIS LYON,MONTPELLIER,207.795986622,300.0,1.0,18.0,14.6722222222,-0.8595317725749999,33.0,34.2196969697,3.22720178372,0.366666666667,0.2,0.3,0.1,0.0333333333333,0.0,20.0,3.22720178372,14.0,4.0,2017-10-01,36.6666666667,20.0,30.0,10.0,3.3333333333299984,0.0
650,2017,10,PARIS MONTPARNASSE,QUIMPER,222.864341085,260.0,2.0,27.0,13.4444444444,0.0638242894057,26.0,34.8076923077,5.71718346253,0.115384615385,0.192307692308,0.307692307692,0.230769230769,0.0769230769231,0.0769230769231,26.0,5.6514687100900005,13.0,3.0,2017-10-01,11.538461538499998,19.2307692308,30.7692307692,23.0769230769,7.692307692310001,7.692307692310001
651,2016,11,PARIS LYON,ANNECY,223.280645161,155.0,0.0,7.0,16.571428571400002,0.8129032258059999,12.0,33.75,4.68387096774,0.333333333333,0.25,0.25,0.0833333333333,0.0,0.0833333333333,12.0,33.75,4.0,1.0,2016-11-01,33.333333333300004,25.0,25.0,8.333333333330001,0.0,8.333333333330001
653,2017,5,BREST,PARIS MONTPARNASSE,273.631840796,201.0,0.0,5.0,20.2,0.547263681592,14.0,37.6428571429,2.65174129353,0.416666666667,0.5,0.0833333333333,0.0,0.0,0.0,14.0,37.6095238,5.0,2.0,2017-05-01,41.6666666667,50.0,8.333333333330001,0.0,0.0,0.0
654,2017,5,TOULOUSE MATABIAU,PARIS MONTPARNASSE,340.37012987,155.0,1.0,10.0,24.9,1.53896103896,30.0,40.3,9.24025974026,0.357142857143,0.4642857142859999,0.107142857143,0.0714285714286,0.0,0.0,30.0,40.3088889,14.0,5.0,2017-05-01,35.7142857143,46.4285714286,10.7142857143,7.1428571428600005,0.0,0.0
655,2017,5,LILLE,MARSEILLE ST CHARLES,301.993055556,144.0,0.0,10.0,14.5,1.51388888889,32.0,35.90625,10.8541666667,0.344827586207,0.103448275862,0.241379310345,0.103448275862,0.137931034483,0.0689655172414,32.0,35.849479200000005,12.0,6.0,2017-05-01,34.482758620700004,10.3448275862,24.1379310345,10.3448275862,13.7931034483,6.896551724139999
657,2015,11,METZ,PARIS EST,87.01742160280001,287.0,0.0,32.0,14.9375,2.26829268293,45.0,18.0,3.24738675958,0.244444444444,0.177777777778,0.4,0.0888888888889,0.0222222222221999,0.0666666666666999,14.0,36.3571429,6.0,1.0,2015-11-01,24.4444444444,17.7777777778,40.0,8.88888888889,2.22222222222,6.666666666669999
658,2015,11,PARIS LYON,MULHOUSE VILLE,166.424242424,297.0,0.0,13.0,11.7692307692,0.683501683502,14.0,29.8571428571,2.03703703704,0.307692307692,0.3846153846149999,0.0,0.153846153846,0.0769230769231,0.0769230769231,11.0,34.909090899999995,5.0,1.0,2015-11-01,30.7692307692,38.4615384615,0.0,15.3846153846,7.692307692310001,7.692307692310001
659,2015,11,PARIS MONTPARNASSE,LAVAL,96.7077922078,231.0,0.0,8.0,15.625,0.6536796536799999,14.0,27.8571428571,2.4025974026,0.357142857143,0.428571428571,0.142857142857,0.0714285714286,0.0,0.0,7.0,42.4285714,4.0,1.0,2015-11-01,35.7142857143,42.8571428571,14.2857142857,7.1428571428600005,0.0,0.0
661,2017,12,PARIS EST,STRASBOURG,113.642857143,493.0,3.0,38.0,22.3166666667,1.94170068027,42.0,31.8337301587,3.41370748299,0.357142857143,0.0714285714286,0.0952380952381,0.357142857143,0.0714285714286,0.047619047619,33.0,3.37241263441,14.0,5.0,2017-12-01,35.7142857143,7.1428571428600005,9.523809523810002,35.7142857143,7.1428571428600005,4.7619047619
664,2017,12,PARIS LYON,BELLEGARDE (AIN),161.650224215,225.0,2.0,14.0,21.5130952381,1.2269058296,40.0,23.8275,5.8728699551600005,0.305555555556,0.277777777778,0.222222222222,0.0833333333333,0.0555555555556,0.0555555555556,29.0,5.8728699551600005,7.0,0.0,2017-12-01,30.5555555556,27.7777777778,22.2222222222,8.333333333330001,5.555555555560001,5.555555555560001
665,2017,12,PARIS LYON,MACON LOCHE,95.7194570136,221.0,0.0,19.0,21.7789473684,1.81794871795,34.0,31.6799019608,5.73046757164,0.375,0.125,0.03125,0.4687500000000001,0.0,0.0,24.0,5.73046757164,9.0,2.0,2017-12-01,37.5,12.5,3.125,46.875,0.0,0.0
666,2017,12,PARIS NORD,DOUAI,66.8020833333,193.0,1.0,20.0,17.3408333333,1.91102430556,34.0,16.1838235294,2.63576388889,0.307692307692,0.153846153846,0.153846153846,0.153846153846,0.192307692308,0.0384615384615,16.0,2.63576388889,3.0,0.0,2017-12-01,30.7692307692,15.3846153846,15.3846153846,15.3846153846,19.2307692308,3.84615384615
667,2017,12,GENEVE,PARIS LYON,193.625737463,226.0,0.0,18.0,11.8796296296,2.28738938053,37.0,24.3103603604,4.54896755162,0.4,0.228571428571,0.228571428571,0.0857142857143,0.0571428571429,0.0,28.0,4.54896755162,9.0,1.0,2017-12-01,40.0,22.8571428571,22.8571428571,8.57142857143,5.71428571429,0.0
668,2015,12,METZ,PARIS EST,86.3628762542,299.0,0.0,26.0,18.6153846154,2.11705685619,32.0,19.6875,2.3110367893,0.172413793103,0.137931034483,0.5172413793099999,0.0689655172414,0.0344827586207,0.0689655172414,6.0,62.8333333,5.0,2.0,2015-12-01,17.2413793103,13.7931034483,51.724137931,6.896551724139999,3.44827586207,6.896551724139999
669,2015,12,BELLEGARDE (AIN),PARIS LYON,163.341563786,245.0,2.0,31.0,11.2580645161,2.54732510288,13.0,20.6153846154,-0.0658436213992,0.153846153846,0.153846153846,0.461538461538,0.153846153846,0.0769230769231,0.0,7.0,27.2857143,2.0,0.0,2015-12-01,15.3846153846,15.3846153846,46.1538461538,15.3846153846,7.692307692310001,0.0
670,2015,12,GRENOBLE,PARIS LYON,182.731707317,246.0,0.0,9.0,13.5555555556,0.682926829268,10.0,41.0,0.418699186992,0.5,0.0,0.3,0.1,0.0,0.1,9.0,44.1111111,4.0,1.0,2015-12-01,50.0,0.0,30.0,10.0,0.0,10.0
671,2015,12,LE CREUSOT MONTCEAU MONTCHANIN,PARIS LYON,81.5422535211,216.0,3.0,51.0,12.1568627451,4.07511737089,19.0,15.6315789474,0.507042253521,0.444444444444,0.111111111111,0.222222222222,0.0555555555556,0.111111111111,0.0555555555556,7.0,26.2857143,3.0,0.0,2015-12-01,44.4444444444,11.1111111111,22.2222222222,5.555555555560001,11.1111111111,5.555555555560001
672,2015,12,MULHOUSE VILLE,PARIS LYON,167.280373832,322.0,1.0,15.0,13.6,1.0685358255500002,16.0,20.625,0.0778816199377,0.0625,0.375,0.1875,0.25,0.0,0.125,8.0,28.375,3.0,0.0,2015-12-01,6.25,37.5,18.75,25.0,0.0,12.5
674,2015,12,PARIS MONTPARNASSE,ANGERS SAINT LAUD,95.6404109589,438.0,0.0,19.0,14.1052631579,0.707762557078,24.0,35.625,2.35616438356,0.458333333333,0.458333333333,0.0,0.0,0.0833333333333,0.0,22.0,37.5454545,10.0,3.0,2015-12-01,45.8333333333,45.8333333333,0.0,0.0,8.333333333330001,0.0
675,2015,12,NANTES,PARIS MONTPARNASSE,134.541083916,573.0,1.0,22.0,13.5,0.8444055944059999,46.0,28.065217391300003,2.67832167832,0.422222222222,0.311111111111,0.0888888888889,0.177777777778,0.0,0.0,33.0,34.1515152,12.0,3.0,2015-12-01,42.2222222222,31.1111111111,8.88888888889,17.7777777778,0.0,0.0
676,2015,12,POITIERS,PARIS MONTPARNASSE,104.401221996,491.0,0.0,63.0,11.873015873,2.49083503055,21.0,26.5714285714,1.03869653768,0.333333333333,0.380952380952,0.142857142857,0.047619047619,0.047619047619,0.047619047619,14.0,33.571428600000004,8.0,0.0,2015-12-01,33.333333333300004,38.0952380952,14.2857142857,4.7619047619,4.7619047619,4.7619047619
677,2015,8,PARIS LYON,LE CREUSOT MONTCEAU MONTCHANIN,79.0975609756,205.0,0.0,2.0,15.5,0.282926829268,9.0,21.7777777778,0.7414634146340001,0.555555555556,0.111111111111,0.222222222222,0.111111111111,0.0,0.0,6.0,29.5,2.0,0.0,2015-08-01,55.5555555556,11.1111111111,22.2222222222,11.1111111111,0.0,0.0
678,2015,8,PARIS MONTPARNASSE,ANGERS SAINT LAUD,101.132545932,381.0,0.0,23.0,18.7826086957,1.26509186352,38.0,24.1578947368,3.95275590551,0.297297297297,0.351351351351,0.0,0.189189189189,0.108108108108,0.0540540540541,22.0,32.8636364,9.0,3.0,2015-08-01,29.7297297297,35.1351351351,0.0,18.9189189189,10.8108108108,5.40540540541
679,2015,10,ANNECY,PARIS LYON,226.147959184,196.0,0.0,6.0,19.5,0.7295918367349999,21.0,32.8571428571,3.67857142857,0.333333333333,0.285714285714,0.190476190476,0.142857142857,0.047619047619,0.0,21.0,32.8571429,8.0,2.0,2015-10-01,33.333333333300004,28.5714285714,19.0476190476,14.2857142857,4.7619047619,0.0
681,2015,10,RENNES,LYON PART DIEU,262.178217822,101.0,0.0,7.0,8.85714285714,0.990099009901,16.0,46.1875,6.61386138614,0.1875,0.3125,0.0625,0.375,0.0625,0.0,16.0,46.1875,4.0,3.0,2015-10-01,18.75,31.25,6.25,37.5,6.25,0.0
682,2015,9,PARIS EST,REIMS,47.18627450979999,204.0,0.0,10.0,30.7,1.61274509804,14.0,23.9285714286,1.82843137255,0.416666666667,0.333333333333,0.0,0.0833333333333,0.166666666667,0.0,3.0,72.33333329999999,3.0,1.0,2015-09-01,41.6666666667,33.333333333300004,0.0,8.333333333330001,16.6666666667,0.0
683,2015,9,PERPIGNAN,PARIS LYON,307.735099338,151.0,0.0,22.0,12.5454545455,2.52317880795,25.0,48.32,7.284768211919999,0.44,0.44,0.12,0.0,0.0,0.0,25.0,48.32,15.0,6.0,2015-09-01,44.0,44.0,12.0,0.0,0.0,0.0
685,2016,8,PARIS MONTPARNASSE,NANTES,136.148221344,506.0,0.0,22.0,14.1363636364,0.7747035573119999,48.0,28.0625,3.1007905138300003,0.25,0.3409090909089999,0.204545454545,0.159090909091,0.0454545454545,0.0,38.0,32.0526316,13.0,2.0,2016-08-01,25.0,34.0909090909,20.4545454545,15.909090909099998,4.54545454545,0.0
686,2016,8,PARIS MONTPARNASSE,POITIERS,105.536779324,504.0,1.0,23.0,13.652173913,0.846918489066,42.0,29.880952381,2.08548707753,0.170731707317,0.268292682927,0.268292682927,0.1463414634149999,0.0975609756098,0.0487804878049,28.0,38.8214286,11.0,4.0,2016-08-01,17.0731707317,26.8292682927,26.8292682927,14.6341463415,9.75609756098,4.87804878049
687,2016,8,GENEVE,PARIS LYON,171.360262009,229.0,0.0,20.0,13.9,2.06986899563,19.0,22.736842105300003,0.890829694323,0.368421052632,0.263157894737,0.263157894737,0.0526315789474,0.0,0.0526315789474,11.0,30.0,4.0,0.0,2016-08-01,36.8421052632,26.3157894737,26.3157894737,5.26315789474,0.0,5.26315789474
689,2016,2,BELLEGARDE (AIN),PARIS LYON,162.39787234,235.0,0.0,34.0,16.3529411765,3.32765957447,27.0,28.037037037,2.32765957447,0.115384615385,0.461538461538,0.192307692308,0.153846153846,0.0384615384615,0.0384615384615,21.0,32.5238095,8.0,2.0,2016-02-01,11.538461538499998,46.1538461538,19.2307692308,15.3846153846,3.84615384615,3.84615384615
690,2016,2,TOULOUSE MATABIAU,PARIS MONTPARNASSE,336.716463415,164.0,2.0,6.0,8.833333333330001,0.420731707317,14.0,38.2142857143,5.10365853659,0.357142857143,0.285714285714,0.0714285714286,0.0714285714286,0.142857142857,0.0714285714286,14.0,38.214285700000005,5.0,2.0,2016-02-01,35.7142857143,28.5714285714,7.1428571428600005,7.1428571428600005,14.2857142857,7.1428571428600005
693,2016,7,PARIS LYON,LYON PART DIEU,120.213438735,506.0,0.0,28.0,18.5,1.18577075099,27.0,31.0740740741,1.92490118577,0.230769230769,0.115384615385,0.153846153846,0.192307692308,0.192307692308,0.115384615385,15.0,45.3333333,9.0,2.0,2016-07-01,23.0769230769,11.538461538499998,15.3846153846,19.2307692308,19.2307692308,11.538461538499998
694,2016,7,PARIS LYON,PERPIGNAN,310.782511211,223.0,0.0,25.0,18.36,2.23766816143,47.0,39.2340425532,9.63228699552,0.260869565217,0.239130434783,0.195652173913,0.152173913043,0.108695652174,0.0434782608696,47.0,39.2340426,23.0,7.0,2016-07-01,26.0869565217,23.9130434783,19.565217391300003,15.217391304299998,10.8695652174,4.34782608696
695,2016,7,TOURS,PARIS MONTPARNASSE,82.3619791667,192.0,0.0,3.0,21.6666666667,0.411458333333,43.0,13.2093023256,3.54166666667,0.0769230769231,0.461538461538,0.128205128205,0.205128205128,0.0512820512821,0.0769230769231,11.0,26.2727273,3.0,0.0,2016-07-01,7.692307692310001,46.1538461538,12.8205128205,20.5128205128,5.128205128209999,7.692307692310001
696,2016,7,LILLE,PARIS NORD,63.5676691729,536.0,4.0,46.0,16.6086956522,1.82894736842,68.0,25.5147058824,3.36654135338,0.1833333333329999,0.266666666667,0.1833333333329999,0.15,0.166666666667,0.05,26.0,51.5,9.0,2.0,2016-07-01,18.3333333333,26.6666666667,18.3333333333,15.0,16.6666666667,5.0
700,2016,3,PARIS LYON,MARSEILLE ST CHARLES,203.777647059,425.0,9.0,15.0,13.6666666667,0.545882352941,26.0,43.5384615385,3.92,0.615384615385,0.115384615385,0.0769230769231,0.153846153846,0.0384615384615,0.0,26.0,43.5384615,12.0,6.0,2016-03-01,61.5384615385,11.538461538499998,7.692307692310001,15.3846153846,3.84615384615,0.0
701,2016,3,PARIS LYON,MONTPELLIER,211.810763889,288.0,5.0,10.0,20.9,0.934027777778,25.0,33.0,2.98611111111,0.48,0.16,0.04,0.28,0.04,0.0,25.0,33.0,12.0,2.0,2016-03-01,48.0,16.0,4.0,28.000000000000004,4.0,0.0
702,2016,3,PARIS LYON,SAINT ETIENNE CHATEAUCREUX,169.00952381,105.0,1.0,2.0,7.5,0.238095238095,12.0,18.6666666667,4.58095238095,0.181818181818,0.181818181818,0.181818181818,0.181818181818,0.181818181818,0.0909090909091,6.0,24.8333333,2.0,0.0,2016-03-01,18.1818181818,18.1818181818,18.1818181818,18.1818181818,18.1818181818,9.09090909091
705,2016,4,PARIS LYON,MACON LOCHE,96.2230392157,204.0,5.0,6.0,12.6666666667,0.549019607843,4.0,18.5,-0.0735294117646999,0.25,0.25,0.5,0.0,0.0,0.0,3.0,20.3333333,0.0,0.0,2016-04-01,25.0,25.0,50.0,0.0,0.0,0.0
706,2016,1,PARIS LYON,DIJON VILLE,95.9317647059,425.0,0.0,16.0,32.3125,1.35764705882,20.0,33.25,1.6611764705899998,0.166666666667,0.444444444444,0.0555555555556,0.111111111111,0.222222222222,0.0,15.0,40.466666700000005,10.0,2.0,2016-01-01,16.6666666667,44.4444444444,5.555555555560001,11.1111111111,22.2222222222,0.0
707,2016,1,PARIS MONTPARNASSE,NANTES,135.549494949,495.0,1.0,12.0,15.8333333333,0.50101010101,45.0,36.6888888889,3.79191919192,0.266666666667,0.2,0.311111111111,0.111111111111,0.111111111111,0.0,38.0,41.15789470000001,20.0,6.0,2016-01-01,26.6666666667,20.0,31.1111111111,11.1111111111,11.1111111111,0.0
710,2017,6,PARIS LYON,ANNECY,222.969072165,196.0,2.0,22.0,22.0454545455,2.89175257732,19.0,50.1052631579,7.85051546392,0.25,0.375,0.0,0.25,0.125,0.0,19.0,50.0263158,10.0,5.0,2017-06-01,25.0,37.5,0.0,25.0,12.5,0.0
713,2017,6,SAINT ETIENNE CHATEAUCREUX,PARIS LYON,168.371681416,113.0,0.0,1.0,9.0,0.106194690265,11.0,27.818181818200003,3.84955752212,0.6000000000000001,0.2,0.0,0.0,0.2,0.0,8.0,33.685416700000005,3.0,1.0,2017-06-01,60.0,20.0,0.0,0.0,20.0,0.0
718,2017,7,MARSEILLE ST CHARLES,PARIS LYON,197.99103139,447.0,1.0,53.0,14.7547169811,2.17488789238,67.0,26.776119403000003,4.63901345291,0.3125,0.140625,0.28125,0.1875,0.046875,0.03125,44.0,34.0492424,15.0,4.0,2017-07-01,31.25,14.0625,28.125,18.75,4.6875,3.125
719,2017,7,PARIS LYON,MULHOUSE VILLE,172.73498233200002,284.0,1.0,39.0,23.1282051282,3.3074204947,41.0,27.6341463415,3.6925795053,0.205882352941,0.0588235294118,0.235294117647,0.441176470588,0.0294117647059,0.0294117647059,31.0,32.6736559,15.0,1.0,2017-07-01,20.5882352941,5.8823529411800015,23.5294117647,44.1176470588,2.9411764705900003,2.9411764705900003
721,2017,7,TOURS,PARIS MONTPARNASSE,76.44594594590001,153.0,5.0,7.0,15.7142857143,0.966216216216,30.0,20.6333333333,4.99324324324,0.235294117647,0.235294117647,0.235294117647,0.176470588235,0.0588235294118,0.0588235294118,10.0,45.8916667,7.0,3.0,2017-07-01,23.5294117647,23.5294117647,23.5294117647,17.6470588235,5.8823529411800015,5.8823529411800015
722,2017,7,VANNES,PARIS MONTPARNASSE,155.604255319,244.0,9.0,35.0,12.7428571429,3.0042553191500003,36.0,45.5,8.91063829787,0.233333333333,0.5666666666669999,0.0666666666666999,0.1,0.0,0.0333333333333,26.0,58.246794900000005,15.0,8.0,2017-07-01,23.3333333333,56.6666666667,6.666666666669999,10.0,0.0,3.3333333333299984
723,2017,7,PARIS NORD,DOUAI,66.4285714286,175.0,0.0,10.0,15.4,1.01714285714,23.0,12.8260869565,1.5028571428600002,0.3125,0.0625,0.125,0.3125,0.125,0.0625,6.0,27.1333333,1.0,1.0,2017-07-01,31.25,6.25,12.5,31.25,12.5,6.25
724,2017,7,RENNES,LYON PART DIEU,233.903225806,126.0,2.0,14.0,11.9285714286,1.8064516129,28.0,42.5357142857,11.5,0.125,0.2083333333329999,0.2083333333329999,0.333333333333,0.0416666666667,0.0833333333333,28.0,42.5297619,13.0,8.0,2017-07-01,12.5,20.8333333333,20.8333333333,33.333333333300004,4.16666666667,8.333333333330001
725,2017,7,STRASBOURG,NANTES,288.035087719,57.0,0.0,2.0,8.0,0.368421052632,9.0,35.0,7.57894736842,0.222222222222,0.111111111111,0.444444444444,0.0,0.111111111111,0.111111111111,9.0,34.948148100000004,4.0,1.0,2017-07-01,22.2222222222,11.1111111111,44.4444444444,0.0,11.1111111111,11.1111111111
728,2017,1,METZ,PARIS EST,85.3732876712,300.0,8.0,55.0,15.3051515152,3.43561643836,65.0,21.0351282051,5.08202054795,0.176470588235,0.078431372549,0.274509803922,0.274509803922,0.117647058824,0.078431372549,26.0,39.2442307692,11.0,4.0,2017-01-01,17.6470588235,7.8431372548999985,27.4509803922,27.4509803922,11.7647058824,7.8431372548999985
729,2017,1,NICE VILLE,PARIS LYON,343.75824175800005,187.0,5.0,13.0,10.5358974359,1.28049450549,23.0,40.5079710145,4.6706043956,0.318181818182,0.227272727273,0.363636363636,0.0909090909091,0.0,0.0,23.0,40.5079710145,11.0,4.0,2017-01-01,31.818181818200003,22.7272727273,36.3636363636,9.09090909091,0.0,0.0
730,2017,1,PARIS LYON,GRENOBLE,181.678571429,253.0,1.0,26.0,16.1698717949,1.70324074074,36.0,25.0833333333,4.19047619048,0.111111111111,0.166666666667,0.194444444444,0.5,0.0277777777778,0.0,29.0,27.8965517241,9.0,1.0,2017-01-01,11.1111111111,16.6666666667,19.4444444444,50.0,2.77777777778,0.0
731,2017,1,PARIS MONTPARNASSE,BREST,267.943925234,220.0,6.0,17.0,16.031372549,1.27834890966,15.0,40.3333333333,4.0046728972,0.285714285714,0.142857142857,0.142857142857,0.357142857143,0.0714285714286,0.0,15.0,40.3333333333,6.0,2.0,2017-01-01,28.5714285714,14.2857142857,14.2857142857,35.7142857143,7.1428571428600005,0.0
732,2017,1,PARIS MONTPARNASSE,RENNES,130.840740741,546.0,6.0,36.0,15.4513888889,1.02,51.0,27.6274509804,3.2537037037,0.288888888889,0.222222222222,0.155555555556,0.311111111111,0.0222222222221999,0.0,37.0,33.2162162162,13.0,4.0,2017-01-01,28.8888888889,22.2222222222,15.555555555600002,31.1111111111,2.22222222222,0.0
733,2017,9,BELLEGARDE (AIN),PARIS LYON,164.548245614,229.0,1.0,38.0,9.00614035088,2.76915204678,33.0,24.5176767677,4.45051169591,0.09375,0.3125,0.5,0.0625,0.0,0.03125,21.0,31.319047619000003,9.0,1.0,2017-09-01,9.375,31.25,50.0,6.25,0.0,3.125
736,2017,9,QUIMPER,PARIS MONTPARNASSE,223.172995781,237.0,0.0,4.0,9.0,0.189873417722,25.0,30.806,6.344936708860001,0.166666666667,0.555555555556,0.111111111111,0.111111111111,0.0,0.0555555555556,25.0,30.806,6.0,3.0,2017-09-01,16.6666666667,55.5555555556,11.1111111111,11.1111111111,0.0,5.555555555560001
739,2017,8,PARIS LYON,GRENOBLE,182.828571429,176.0,1.0,15.0,17.1033333333,1.4140952381,29.0,45.0172413793,7.9,0.1785714285709999,0.392857142857,0.1785714285709999,0.214285714286,0.0,0.0357142857143,24.0,51.75,13.0,4.0,2017-08-01,17.8571428571,39.2857142857,17.8571428571,21.4285714286,0.0,3.5714285714300003
741,2017,8,PARIS NORD,ARRAS,49.2544642857,228.0,4.0,14.0,14.0714285714,0.955431547619,24.0,14.5770833333,2.31383928571,0.3,0.05,0.45,0.1,0.1,0.0,8.0,28.0854166667,4.0,0.0,2017-08-01,30.0,5.0,45.0,10.0,10.0,0.0
742,2017,8,LILLE,LYON PART DIEU,190.261324042,287.0,0.0,37.0,11.8297297297,2.28948896632,57.0,25.988011695900003,6.952439024389999,0.150943396226,0.245283018868,0.283018867925,0.11320754717,0.11320754717,0.0943396226414999,35.0,34.5866666667,14.0,5.0,2017-08-01,15.0943396226,24.5283018868,28.3018867925,11.320754717,11.320754717,9.43396226415
744,2017,2,CHAMBERY CHALLES LES EAUX,PARIS LYON,183.601593625,251.0,0.0,83.0,14.4108433735,5.53950863214,43.0,24.3178294574,3.60664010624,0.162162162162,0.2432432432429999,0.432432432432,0.108108108108,0.027027027027,0.027027027027,28.0,30.7107142857,7.0,2.0,2017-02-01,16.2162162162,24.3243243243,43.243243243200006,10.8108108108,2.7027027027,2.7027027027
