,Year,Month,Departure station,Arrival station,Average travel time (min),Number of expected circulations,Number of cancelled trains,Number of late trains at departure,Average delay of late departing trains (min),Average delay of all departing trains (min),Number of trains late on arrival,Average delay of late arriving trains (min),Average delay of all arriving trains (min),"% trains late due to external causes (weather, obstacles, suspicious packages, malevolence, social movements, etc.)","% trains late due to railway infrastructure (maintenance, works)","% trains late due to traffic management (rail line traffic, network interactions)",% trains late due to rolling stock,% trains late due to station management and reuse of material,"% trains late due to passenger traffic (affluence, PSH management, connections)",Number of late trains > 15min,Average train delay > 15min,Number of late trains > 30min,Number of late trains > 60min,Period,Delay due to external causes,Delay due to railway infrastructure,Delay due to traffic management,Delay due to rolling stock,Delay due to station management and reuse of material,Delay due to travellers taken into account
3580,2017,4,PARIS LYON,NICE VILLE,344.284313725,210.0,6.0,20.0,15.95,1.60784313725,45.0,28.977777777800004,10.2401960784,0.25,0.159090909091,0.295454545455,0.227272727273,0.0454545454545,0.0227272727272999,45.0,28.9166667,18.0,2.0,2017-04-01,25.0,15.909090909099998,29.5454545455,22.7272727273,4.54545454545,2.27272727273
3582,2017,4,ARRAS,PARIS NORD,57.2628205128,314.0,2.0,19.0,11.0,1.3942307692299998,24.0,16.0833333333,0.894230769231,0.352941176471,0.176470588235,0.411764705882,0.0,0.0588235294118,0.0,6.0,38.0527778,4.0,0.0,2017-04-01,35.29411764709999,17.6470588235,41.1764705882,0.0,5.8823529411800015,0.0
3583,2017,2,LAVAL,PARIS MONTPARNASSE,100.245454545,220.0,0.0,18.0,20.956481481500003,2.24431818182,19.0,42.9078947368,3.852196969700001,0.25,0.5,0.0,0.1875,0.0625,0.0,15.0,50.7077777778,8.0,5.0,2017-02-01,25.0,50.0,0.0,18.75,6.25,0.0
3584,2017,2,PARIS MONTPARNASSE,POITIERS,103.896017699,458.0,6.0,27.0,28.2820987654,1.7471607669599998,24.0,44.045138888900006,1.6232300885000002,0.333333333333,0.277777777778,0.111111111111,0.222222222222,0.0555555555556,0.0,18.0,54.6898148148,12.0,7.0,2017-02-01,33.333333333300004,27.7777777778,11.1111111111,22.2222222222,5.555555555560001,0.0
3585,2017,2,DOUAI,PARIS NORD,85.0785340314,191.0,0.0,12.0,15.0819444444,1.36291448517,19.0,14.7122807018,1.4320244328100002,0.176470588235,0.176470588235,0.411764705882,0.235294117647,0.0,0.0,4.0,38.4625,3.0,0.0,2017-02-01,17.6470588235,17.6470588235,41.1764705882,23.5294117647,0.0,0.0
3586,2017,2,FRANCFORT,PARIS EST,200.605450734,159.0,0.0,20.0,12.2858333333,2.73951781971,20.0,24.5933333333,5.43846960168,0.25,0.3,0.1,0.3,0.05,0.0,18.0,25.9240740741,5.0,0.0,2017-02-01,25.0,30.0,10.0,30.0,5.0,0.0
3590,2017,8,PARIS NORD,LILLE,62.2096385542,416.0,1.0,20.0,15.120833333299998,0.980803212851,42.0,16.704365079400002,2.16670682731,0.2,0.0333333333333,0.366666666667,0.233333333333,0.166666666667,0.0,10.0,42.4433333333,6.0,2.0,2017-08-01,20.0,3.3333333333299984,36.6666666667,23.3333333333,16.6666666667,0.0
3591,2017,1,BELLEGARDE (AIN),PARIS LYON,162.765182186,249.0,2.0,50.0,10.7516666667,3.23535762483,30.0,21.365,1.30708502024,0.214285714286,0.285714285714,0.1785714285709999,0.142857142857,0.0714285714286,0.107142857143,17.0,28.4950980392,6.0,0.0,2017-01-01,21.4285714286,28.5714285714,17.8571428571,14.2857142857,7.1428571428600005,10.7142857143
3594,2017,1,PARIS EST,STUTTGART,121.215277778,147.0,3.0,14.0,15.808333333299998,1.82314814815,22.0,27.2515151515,5.07164351852,0.25,0.2,0.05,0.5,0.0,0.0,16.0,32.4083333333,8.0,1.0,2017-01-01,25.0,20.0,5.0,50.0,0.0,0.0
3595,2017,1,PARIS MONTPARNASSE,QUIMPER,268.518134715,193.0,0.0,14.0,17.758333333299998,1.13868739206,15.0,41.4333333333,4.16580310881,0.5454545454549999,0.0909090909091,0.0,0.363636363636,0.0,0.0,15.0,41.4333333333,9.0,3.0,2017-01-01,54.545454545500014,9.09090909091,0.0,36.3636363636,0.0,0.0
